Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
35 1016.13 806.00 86.604814 74.5134 0.0864202 11.8108 0.193566 0 0.449973 0 0.0192045 0 0 0.393692 4.31141 4.50345 0 3.71808
31 556.45 851.70 85.318199 75.4168 0.0877235 11.9203 0.190195 0 0.462418 0 0.0194941 0 0 0.394487 4.34416 4.56571 0 2.59872
35 1322.58 798.00 87.136298 74.0589 0.0858931 11.7387 0.191402 0 0.448113 0 0.0190874 0 0 0.391291 4.28511 4.47599 0 4.30544
24 1169.35 831.00 86.860662 74.294 0.0861657 11.776 0.185286 0 0.455586 0 0.0191479 0 0 0.392533 4.29871 4.49019 0 4.00245
34 862.90 818.10 86.070925 74.8045 0.0869563 11.8304 0.193214 0 0.454162 0 0.0193236 0 0 0.391868 4.31302 4.52725 0 3.37931
11 403.23 874.00 84.766014 75.7922 0.0882949 11.9624 0.188302 0 0.46825 0 0.0196211 0 0 0.39476 4.35558 4.59212 0 2.13848
37 709.68 828.20 84.106004 75.3061 0.0889878 11.7203 0.196533 0 0.465847 0 0.0197751 0 0 0.372844 4.23069 4.60151 0 2.99738
36 1322.58 795.00 87.137648 74.0578 0.0858918 11.7385 0.192201 0 0.447385 0 0.0190871 0 0 0.391285 4.28505 4.47592 0 4.30685
25 1169.35 828.00 86.862728 74.2922 0.0861636 11.7757 0.185985 0 0.454941 0 0.0191475 0 0 0.392523 4.29861 4.49008 0 4.00466
35 862.90 818.20 86.103740 74.8002 0.0869231 11.8335 0.19312 0 0.454006 0 0.0193163 0 0 0.392318 4.31493 4.52611 0 3.37961
34 250.00 888.70 80.145312 76.7576 0.0933855 11.6149 0.196978 0 0.497208 0 0.0207523 0 0 0.356181 4.10922 4.75776 0 1.59604
36 1016.13 805.00 86.276195 74.5567 0.0867494 11.7803 0.194511 0 0.4515 0 0.0192776 0 0 0.389093 4.29247 4.51491 0 3.71449
12 403.23 875.00 85.076649 75.7521 0.0879725 11.992 0.187467 0 0.466672 0 0.0195494 0 0 0.398534 4.37427 4.58168 0 2.13974
36 862.90 818.30 86.136577 74.7959 0.08689 11.8366 0.193027 0 0.453851 0 0.0193089 0 0 0.392769 4.31684 4.52497 0 3.3799
35 250.00 887.70 79.880101 76.7943 0.0936955 11.5876 0.197777 0 0.498728 0 0.0208212 0 0 0.353868 4.09092 4.76708 0 1.59522
38 709.68 827.20 83.799058 75.347 0.0893137 11.6907 0.197443 0 0.467382 0 0.0198475 0 0 0.369223 4.21159 4.61235 0 2.9951
37 1016.13 805.10 86.309803 74.5523 0.0867156 11.7834 0.194415 0 0.451343 0 0.0192701 0 0 0.389558 4.29441 4.51374 0 3.71486
37 1322.58 792.00 87.138934 74.0567 0.0858905 11.7384 0.19301 0 0.446648 0 0.0190868 0 0 0.391279 4.28498 4.47585 0 4.30818
26 1169.35 825.00 86.864762 74.2905 0.0861616 11.7754 0.186694 0 0.454289 0 0.019147 0 0 0.392514 4.29851 4.48998 0 4.00684
32 556.45 850.70 85.004745 75.4575 0.0880469 11.8906 0.191064 0 0.463973 0 0.019566 0 0 0.390516 4.32539 4.57643 0 2.597
13 403.23 876.00 85.207325 75.7355 0.0878376 12.0045 0.186999 0 0.466119 0 0.0195195 0 0 0.400149 4.38212 4.57732 0 2.13993
36 250.00 886.70 79.617528 76.8309 0.0940045 11.5603 0.198576 0 0.500241 0 0.0208899 0 0 0.35161 4.07266 4.77635 0 1.59441
37 862.90 818.40 86.169436 74.7916 0.0868569 11.8396 0.192934 0 0.453695 0 0.0193015 0 0 0.393221 4.31875 4.52383 0 3.38019
27 1169.35 822.00 86.866764 74.2887 0.0861596 11.7751 0.187412 0 0.453629 0 0.0191466 0 0 0.392505 4.29841 4.48987 0 4.00898
39 709.68 826.20 83.494661 75.3878 0.0896394 11.6613 0.198355 0 0.468913 0 0.0199199 0 0 0.365705 4.19246 4.62315 0 2.99281
38 1016.13 805.20 86.343432 74.5478 0.0866818 11.7866 0.194318 0 0.451186 0 0.0192626 0 0 0.390025 4.29636 4.51256 0 3.71523
37 250.00 885.70 79.357572 76.8673 0.0943125 11.5332 0.199375 0 0.501746 0 0.0209583 0 0 0.349406 4.05446 4.78557 0 1.5936
14 403.23 875.00 85.076649 75.7521 0.0879725 11.992 0.187467 0 0.466672 0 0.0195494 0 0 0.398534 4.37427 4.58168 0 2.13974
33 556.45 849.70 84.693764 75.498 0.0883702 11.8609 0.191934 0 0.465526 0 0.0196378 0 0 0.386657 4.30658 4.58711 0 2.59529
40 709.68 825.20 83.192835 75.4283 0.0899646 11.6319 0.199268 0 0.47044 0 0.0199921 0 0 0.362287 4.17333 4.63392 0 2.99053
38 1322.58 789.00 87.140153 74.0557 0.0858893 11.7382 0.19383 0 0.445901 0 0.0190865 0 0 0.391274 4.28492 4.47579 0 4.30943
38 862.90 818.50 86.202317 74.7873 0.0868237 11.8427 0.192841 0 0.45354 0 0.0192942 0 0 0.393675 4.32066 4.52269 0 3.38049
39 1016.13 805.30 86.377083 74.5434 0.0866481 11.7897 0.194222 0 0.451029 0 0.0192551 0 0 0.390493 4.2983 4.51139 0 3.7156
28 1169.35 819.00 86.868731 74.2871 0.0861577 11.7749 0.188139 0 0.452961 0 0.0191461 0 0 0.392496 4.29831 4.48977 0 4.01108
38 250.00 884.70 79.100214 76.9035 0.0946193 11.5063 0.200173 0 0.503244 0 0.0210265 0 0 0.347253 4.0363 4.79474 0 1.59279
39 1322.58 786.00 87.141303 74.0547 0.0858882 11.7381 0.194661 0 0.445146 0 0.0190863 0 0 0.391268 4.28487 4.47573 0 4.31061
34 556.45 848.70 84.385286 75.5384 0.0886933 11.8314 0.192805 0 0.467075 0 0.0197096 0 0 0.382908 4.28776 4.59774 0 2.59357
41 709.68 824.20 82.893600 75.4687 0.0902893 11.6027 0.200183 0 0.471963 0 0.0200643 0 0 0.358965 4.15418 4.64464 0 2.98824
40 1016.13 805.40 86.410756 74.539 0.0866143 11.7928 0.194125 0 0.450872 0 0.0192476 0 0 0.390963 4.30025 4.51021 0 3.71597
29 1169.35 816.00 86.870663 74.2854 0.0861558 11.7746 0.188875 0 0.452284 0 0.0191457 0 0 0.392487 4.29821 4.48967 0 4.01314
39 862.90 818.60 86.235219 74.783 0.0867906 11.8458 0.192748 0 0.453384 0 0.0192868 0 0 0.39413 4.32257 4.52155 0 3.38078
39 250.00 883.70 78.845431 76.9396 0.0949251 11.4795 0.200971 0 0.504734 0 0.0210945 0 0 0.345151 4.0182 4.80386 0 1.59199
42 709.68 823.20 82.596974 75.509 0.0906136 11.5737 0.201099 0 0.47348 0 0.0201364 0 0 0.355736 4.13504 4.65531 0 2.98596
40 1322.58 783.00 86.166638 74.1853 0.0868597 11.6491 0.197558 0 0.449555 0 0.0193022 0 0 0.377725 4.22913 4.51003 0 4.29549
15 403.23 875.10 85.107854 75.7481 0.0879403 11.995 0.187384 0 0.466514 0 0.0195423 0 0 0.398917 4.37614 4.58064 0 2.13987
30 1169.35 813.00 86.872559 74.2838 0.0861539 11.7744 0.189621 0 0.451599 0 0.0191453 0 0 0.392479 4.29812 4.48957 0 4.01516
41 1016.13 805.50 86.444450 74.5345 0.0865805 11.7959 0.194029 0 0.450714 0 0.0192401 0 0 0.391434 4.30219 4.50904 0 3.71634
43 709.68 822.20 82.302969 75.549 0.0909373 11.5447 0.202016 0 0.474993 0 0.0202083 0 0 0.352597 4.1159 4.66595 0 2.98368
40 250.00 882.70 78.593200 76.9755 0.0952297 11.4528 0.201768 0 0.506217 0 0.0211622 0 0 0.343098 4.00015 4.81293 0 1.59119
35 556.45 847.70 84.079340 75.5786 0.089016 11.8019 0.193678 0 0.46862 0 0.0197813 0 0 0.379264 4.26891 4.60834 0 2.59185
41 1322.58 784.00 86.519539 74.1378 0.0865054 11.6814 0.196525 0 0.447926 0 0.0192234 0 0 0.382513 4.24951 4.49756 0 4.30105
31 1169.35 810.00 86.874415 74.2822 0.086152 11.7741 0.190377 0 0.450906 0 0.0191449 0 0 0.39247 4.29803 4.48948 0 4.01713
42 1016.13 805.60 86.478165 74.5301 0.0865468 11.799 0.193933 0 0.450557 0 0.0192326 0 0 0.391906 4.30413 4.50786 0 3.71671
40 862.90 818.70 86.268144 74.7787 0.0867575 11.8489 0.192655 0 0.453229 0 0.0192794 0 0 0.394587 4.32448 4.52041 0 3.38107
44 709.68 821.20 82.011597 75.5889 0.0912604 11.5159 0.202934 0 0.4765 0 0.0202801 0 0 0.349545 4.09676 4.67653 0 2.98139
41 250.00 881.70 78.343500 77.0111 0.0955332 11.4262 0.202565 0 0.507692 0 0.0212296 0 0 0.341092 3.98216 4.82195 0 1.59039
36 556.45 846.70 83.775950 75.6186 0.0893384 11.7726 0.194552 0 0.470162 0 0.019853 0 0 0.375722 4.25005 4.61889 0 2.59014
16 403.23 875.20 85.139086 75.7441 0.087908 11.9979 0.1873 0 0.466356 0 0.0195351 0 0 0.399301 4.37801 4.57959 0 2.13999
32 1169.35 807.00 86.876232 74.2806 0.0861502 11.7739 0.191143 0 0.450204 0 0.0191445 0 0 0.392462 4.29794 4.48938 0 4.01906
42 1322.58 785.00 86.874666 74.0902 0.0861518 11.7138 0.195497 0 0.446297 0 0.0191448 0 0 0.387462 4.26979 4.48507 0 4.30659
17 403.23 875.30 85.170343 75.7401 0.0878757 12.0009 0.187217 0 0.466198 0 0.0195279 0 0 0.399687 4.37988 4.57855 0 2.14012
41 862.90 818.80 86.301091 74.7744 0.0867244 11.8519 0.192562 0 0.453073 0 0.0192721 0 0 0.395045 4.32639 4.51927 0 3.38136
42 250.00 880.70 78.096306 77.0466 0.0958356 11.3998 0.203362 0 0.509159 0 0.0212968 0 0 0.339131 3.96422 4.83092 0 1.5896
37 556.45 845.70 83.475136 75.6585 0.0896603 11.7435 0.195427 0 0.4717 0 0.0199245 0 0 0.372279 4.23117 4.6294 0 2.58843
33 1169.35 804.00 86.878008 74.2791 0.0861485 11.7736 0.191918 0 0.449493 0 0.0191441 0 0 0.392454 4.29785 4.48929 0 4.02095
43 1322.58 786.00 87.141303 74.0547 0.0858882 11.7381 0.194661 0 0.445146 0 0.0190863 0 0 0.391268 4.28487 4.47573 0 4.31061
18 403.23 875.40 85.201626 75.736 0.0878435 12.0039 0.187134 0 0.46604 0 0.0195208 0 0 0.400073 4.38175 4.5775 0 2.14024
34 1169.35 801.00 86.879740 74.2776 0.0861468 11.7734 0.192704 0 0.448774 0 0.0191437 0 0 0.392446 4.29777 4.4892 0 4.02278
42 862.90 818.90 86.302790 74.7742 0.0867227 11.8521 0.192534 0 0.453086 0 0.0192717 0 0 0.39507 4.3265 4.51921 0 3.3813
45 709.68 820.20 81.722864 75.6286 0.0915828 11.4872 0.203853 0 0.478002 0 0.0203517 0 0 0.346576 4.07763 4.68708 0 2.97912
35 1169.35 798.00 86.881428 74.2762 0.0861451 11.7732 0.1935 0 0.448046 0 0.0191434 0 0 0.392439 4.29768 4.48912 0 4.02457
43 1016.13 805.70 86.511902 74.5256 0.086513 11.8022 0.193837 0 0.4504 0 0.0192251 0 0 0.39238 4.30607 4.50669 0 3.71708
38 556.45 844.70 83.176915 75.6983 0.0899818 11.7144 0.196303 0 0.473233 0 0.019996 0 0 0.368931 4.2123 4.63987 0 2.58671
43 862.90 818.80 86.302863 74.7741 0.0867226 11.8521 0.192559 0 0.453063 0 0.0192717 0 0 0.39507 4.32649 4.51921 0 3.38138
44 1322.58 785.00 86.874666 74.0902 0.0861518 11.7138 0.195497 0 0.446297 0 0.0191448 0 0 0.387462 4.26979 4.48507 0 4.30659
19 403.23 875.50 85.207586 75.7353 0.0878373 12.0044 0.187101 0 0.466025 0 0.0195194 0 0 0.400148 4.38211 4.5773 0 2.14022
43 250.00 879.70 77.851596 77.082 0.0961369 11.3735 0.204158 0 0.510618 0 0.0213637 0 0 0.337215 3.94633 4.83984 0 1.58882
36 1169.35 795.00 86.849783 74.2792 0.0861765 11.7699 0.194375 0 0.447485 0 0.0191503 0 0 0.391956 4.29572 4.49019 0 4.02581
44 862.90 818.70 86.268144 74.7787 0.0867575 11.8489 0.192655 0 0.453229 0 0.0192794 0 0 0.394587 4.32448 4.52041 0 3.38107
39 556.45 843.70 82.881302 75.7378 0.0903027 11.6855 0.19718 0 0.474761 0 0.0200673 0 0 0.365675 4.19342 4.65029 0 2.585
45 1322.58 785.10 86.910297 74.0855 0.0861165 11.717 0.195394 0 0.446134 0 0.019137 0 0 0.387966 4.27181 4.48382 0 4.30714
46 709.68 819.20 81.436776 75.6682 0.0919045 11.4586 0.204773 0 0.479497 0 0.0204232 0 0 0.343689 4.05852 4.69757 0 2.97684
44 1016.13 805.80 86.545660 74.5212 0.0864793 11.8053 0.193741 0 0.450243 0 0.0192176 0 0 0.392856 4.30801 4.50551 0 3.71745
20 403.23 875.40 85.201626 75.736 0.0878435 12.0039 0.187134 0 0.46604 0 0.0195208 0 0 0.400073 4.38175 4.5775 0 2.14024
45 862.90 819.10 86.302643 74.7743 0.0867228 11.8521 0.192484 0 0.453132 0 0.0192717 0 0 0.395071 4.3265 4.51922 0 3.38114
37 1169.35 796.00 86.882528 74.2753 0.086144 11.773 0.194036 0 0.447555 0 0.0191431 0 0 0.392434 4.29763 4.48906 0 4.02573
46 1322.58 785.20 86.945949 74.0807 0.0860812 11.7203 0.195292 0 0.445972 0 0.0191291 0 0 0.388472 4.27383 4.48257 0 4.30769
45 1016.13 805.90 86.579440 74.5168 0.0864456 11.8084 0.193644 0 0.450086 0 0.0192101 0 0 0.393333 4.30995 4.50434 0 3.71782
47 709.68 818.20 81.153336 75.7076 0.0922255 11.4301 0.205694 0 0.480987 0 0.0204946 0 0 0.340879 4.03943 4.70802 0 2.97456
38 1169.35 795.00 86.849783 74.2792 0.0861765 11.7699 0.194375 0 0.447485 0 0.0191503 0 0 0.391956 4.29572 4.49019 0 4.02581
40 556.45 842.70 82.588307 75.7772 0.0906231 11.6567 0.198059 0 0.476285 0 0.0201385 0 0 0.362508 4.17455 4.66067 0 2.58329
46 862.90 818.80 86.302863 74.7741 0.0867226 11.8521 0.192559 0 0.453063 0 0.0192717 0 0 0.39507 4.32649 4.51921 0 3.38138
47 1322.58 785.30 86.981622 74.0759 0.0860458 11.7235 0.195189 0 0.445809 0 0.0191213 0 0 0.388979 4.27585 4.48132 0 4.30825
46 1016.13 806.00 86.604814 74.5134 0.0864202 11.8108 0.193566 0 0.449973 0 0.0192045 0 0 0.393692 4.31141 4.50345 0 3.71808
21 403.23 875.80 85.207430 75.7354 0.0878375 12.0045 0.18704 0 0.466082 0 0.0195194 0 0 0.400149 4.38212 4.57731 0 2.14005
44 1475.81 900.00 87.308854 73.9126 0.0857234 11.7155 0.167785 0 0.468138 0 0.0190496 0 0 0.390517 4.27664 4.46714 0 4.4969
47 862.90 818.80 86.302863 74.7741 0.0867226 11.8521 0.192559 0 0.453063 0 0.0192717 0 0 0.39507 4.32649 4.51921 0 3.38138
41 556.45 841.70 82.297939 75.8164 0.0909428 11.628 0.198938 0 0.477803 0 0.0202095 0 0 0.359427 4.15568 4.671 0 2.58159
39 1169.35 795.10 86.883015 74.2748 0.0861435 11.7729 0.194279 0 0.447333 0 0.019143 0 0 0.392432 4.2976 4.48903 0 4.02624
45 1475.81 897.00 87.311510 73.9103 0.0857207 11.7152 0.168294 0 0.467661 0 0.0190491 0 0 0.390506 4.27651 4.467 0 4.49976
22 403.23 875.50 85.207586 75.7353 0.0878373 12.0044 0.187101 0 0.466025 0 0.0195194 0 0 0.400148 4.38211 4.5773 0 2.14022
47 1016.13 805.90 86.579440 74.5168 0.0864456 11.8084 0.193644 0 0.450086 0 0.0192101 0 0 0.393333 4.30995 4.50434 0 3.71782
42 556.45 840.70 82.010203 75.8555 0.0912619 11.5994 0.199817 0 0.479316 0 0.0202804 0 0 0.356429 4.13682 4.68129 0 2.57988
40 1169.35 795.00 86.849783 74.2792 0.0861765 11.7699 0.194375 0 0.447485 0 0.0191503 0 0 0.391956 4.29572 4.49019 0 4.02581
48 1322.58 785.40 87.017316 74.0712 0.0860106 11.7268 0.195087 0 0.445646 0 0.0191135 0 0 0.389488 4.27787 4.48007 0 4.3088
48 862.90 817.80 85.972614 74.8173 0.0870557 11.8212 0.193493 0 0.454629 0 0.0193457 0 0 0.390527 4.30727 4.53067 0 3.37843
46 1475.81 894.00 87.314142 73.9081 0.0857182 11.7148 0.16881 0 0.467179 0 0.0190485 0 0 0.390494 4.27638 4.46687 0 4.50258
48 709.68 817.20 80.872542 75.7468 0.0925457 11.4018 0.206616 0 0.48247 0 0.0205657 0 0 0.338146 4.02035 4.71842 0 2.97229
41 1169.35 795.40 86.882853 74.275 0.0861437 11.773 0.194198 0 0.447407 0 0.019143 0 0 0.392432 4.29761 4.48904 0 4.02607
48 1016.13 806.30 86.604614 74.5136 0.0864204 11.8108 0.193488 0 0.450045 0 0.0192045 0 0 0.393693 4.31142 4.50346 0 3.71786
23 403.23 875.50 85.207586 75.7353 0.0878373 12.0044 0.187101 0 0.466025 0 0.0195194 0 0 0.400148 4.38211 4.5773 0 2.14022
47 1475.81 891.00 87.316750 73.9059 0.0857156 11.7145 0.169332 0 0.46669 0 0.0190479 0 0 0.390482 4.27626 4.46674 0 4.50538
49 709.68 816.20 80.594394 75.7858 0.0928651 11.3736 0.207539 0 0.483947 0 0.0206367 0 0 0.335485 4.0013 4.72878 0 2.97002
42 1169.35 795.10 86.883015 74.2748 0.0861435 11.7729 0.194279 0 0.447333 0 0.019143 0 0 0.392432 4.2976 4.48903 0 4.02624
49 1016.13 806.00 86.604814 74.5134 0.0864202 11.8108 0.193566 0 0.449973 0 0.0192045 0 0 0.393692 4.31141 4.50345 0 3.71808
49 862.90 816.80 85.646377 74.8602 0.0873873 11.7907 0.194427 0 0.456183 0 0.0194194 0 0 0.386145 4.28809 4.54203 0 3.3755
43 556.45 839.70 81.725102 75.8943 0.0915803 11.571 0.200698 0 0.480823 0 0.0203512 0 0 0.353512 4.11798 4.69153 0 2.57818
48 1475.81 888.00 87.319332 73.9037 0.0857131 11.7141 0.169861 0 0.466196 0 0.0190473 0 0 0.390471 4.27613 4.4666 0 4.50815
24 403.23 874.50 84.921007 75.7722 0.0881338 11.9772 0.187884 0 0.467461 0 0.0195853 0 0 0.396634 4.36493 4.58691 0 2.13911
