Solid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
15 403.23 875.10 14.908124 0.43363 0 0.134404 0 0 0 0 0 0 0 0.00970302 0.0633669 0.0115653 0 99.3473
30 1169.35 813.00 13.143945 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
41 1016.13 805.50 13.572355 0.746164 0 0.23411 0 0 0 0 0 0 0 0.0190363 0.10966 0.0176443 0 98.8734
43 709.68 822.20 17.713689 13.2843 0 4.10449 0 0 0 0 0 0 0 0.28655 1.95546 0.338697 0 80.0305
40 250.00 882.70 21.422688 18.834 0 5.73024 0 0 0 0 0 0 0 0.332847 2.75428 0.54882 0 71.7998
35 556.45 847.70 15.936975 6.18839 0 1.91814 0 0 0 0 0 0 0 0.138505 0.907433 0.160297 0 90.6872
41 1322.58 784.00 13.497496 2.87858 0 0.904013 0 0 0 0 0 0 0 0.074143 0.423999 0.0662367 0 95.653
31 1169.35 810.00 13.142155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
42 1016.13 805.60 13.538637 0.59075 0 0.185372 0 0 0 0 0 0 0 0.0150906 0.0868157 0.0139649 0 99.108
40 862.90 818.70 13.748507 0.160368 0 0.0502365 0 0 0 0 0 0 0 0.00402588 0.0235415 0.00387003 0 99.758
44 709.68 821.20 18.005078 14.1101 0 4.35622 0 0 0 0 0 0 0 0.301522 2.07758 0.360499 0 78.794
41 250.00 881.70 21.672400 19.3749 0 5.89215 0 0 0 0 0 0 0 0.340217 2.83368 0.565341 0 70.9937
36 556.45 846.70 16.240380 7.27805 0 2.25392 0 0 0 0 0 0 0 0.161273 1.06753 0.188952 0 89.0503
16 403.23 875.20 14.876891 0.298512 0 0.0925324 0 0 0 0 0 0 0 0.00668642 0.0436207 0.0079597 0 99.5507
32 1169.35 807.00 13.140405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
42 1322.58 785.00 13.142350 1.26756 0 0.398621 0 0 0 0 0 0 0 0.033098 0.186604 0.0290682 0 98.085
17 403.23 875.30 14.845633 0.162721 0 0.0504446 0 0 0 0 0 0 0 0.00364855 0.0237773 0.00433787 0 99.7551
41 862.90 818.80 13.715559 0.00818915 0 0.00256562 0 0 0 0 0 0 0 0.000205832 0.00120209 0.000197563 0 99.9876
42 250.00 880.70 21.919606 19.8983 0 6.04868 0 0 0 0 0 0 0 0.347212 2.91055 0.581381 0 70.2138
37 556.45 845.70 16.541208 8.31956 0 2.57428 0 0 0 0 0 0 0 0.182549 1.22064 0.216472 0 87.4865
33 1169.35 804.00 13.138697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
43 1322.58 786.00 12.875692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
18 403.23 875.40 14.814348 0.0262522 0 0.00813908 0 0 0 0 0 0 0 0.000589232 0.00383593 0.000699672 0 99.9605
34 1169.35 801.00 13.137033 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
42 862.90 818.90 13.713858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
45 709.68 820.20 18.293827 14.903 0 4.59746 0 0 0 0 0 0 0 0.31554 2.19489 0.381526 0 77.6076
35 1169.35 798.00 13.135415 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
43 1016.13 805.70 13.504899 0.434472 0 0.136351 0 0 0 0 0 0 0 0.0111127 0.0638463 0.0102674 0 99.344
38 556.45 844.70 16.839444 9.31588 0 2.88018 0 0 0 0 0 0 0 0.202446 1.3672 0.242923 0 85.9914
43 862.90 818.80 13.713787 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
44 1322.58 785.00 13.142350 1.26756 0 0.398621 0 0 0 0 0 0 0 0.033098 0.186604 0.0290682 0 98.085
19 403.23 875.50 14.808386 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100
43 250.00 879.70 22.164328 20.4052 0 6.20008 0 0 0 0 0 0 0 0.353854 2.98499 0.596961 0 69.4589
36 1169.35 795.00 13.167130 0.158457 0 0.049818 0 0 0 0 0 0 0 0.0041265 0.0233025 0.00367772 0 99.7606
44 862.90 818.70 13.748507 0.160368 0 0.0502365 0 0 0 0 0 0 0 0.00402589 0.0235415 0.00387003 0 99.758
39 556.45 843.70 17.135072 10.2698 0 3.17254 0 0 0 0 0 0 0 0.221066 1.50759 0.268366 0 84.5607
