Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
35 862.90 818.20 100.016660 64.5215 0.0748316 10.227 0.166256 0 0.390851 0 0.0166292 0 0 0.3409 3.73327 3.89956 0 16.6292
34 250.00 888.70 100.015817 64.522 0.0748322 10.2271 0.157844 0 0.398426 0 0.0166294 0 0 0.340902 3.7333 3.89959 0 16.6294
36 1016.13 805.00 100.016813 64.5214 0.0748315 10.227 0.167788 0 0.389472 0 0.0166292 0 0 0.340899 3.73326 3.89955 0 16.6292
12 403.23 875.00 100.015979 64.5219 0.0748321 10.2271 0.159465 0 0.396966 0 0.0166294 0 0 0.340902 3.73329 3.89958 0 16.6294
36 862.90 818.30 100.016658 64.5215 0.0748316 10.227 0.166239 0 0.390866 0 0.0166292 0 0 0.3409 3.73327 3.89956 0 16.6292
35 250.00 887.70 100.015828 64.522 0.0748322 10.2271 0.15796 0 0.398321 0 0.0166294 0 0 0.340902 3.7333 3.89959 0 16.6294
38 709.68 827.20 100.016577 64.5215 0.0748317 10.227 0.165428 0 0.391597 0 0.0166293 0 0 0.3409 3.73327 3.89956 0 16.6293
37 1016.13 805.10 100.016812 64.5214 0.0748315 10.227 0.167771 0 0.389488 0 0.0166292 0 0 0.340899 3.73326 3.89955 0 16.6292
26 1169.35 825.00 100.016248 64.5217 0.0748319 10.227 0.162145 0 0.394553 0 0.0166293 0 0 0.340901 3.73328 3.89957 0 16.6293
37 1322.58 792.00 100.016850 64.5214 0.0748315 10.227 0.168159 0 0.389138 0 0.0166292 0 0 0.340899 3.73326 3.89955 0 16.6292
32 556.45 850.70 100.016272 64.5217 0.0748319 10.227 0.162387 0 0.394335 0 0.0166293 0 0 0.340901 3.73328 3.89957 0 16.6293
13 403.23 876.00 100.015964 64.5219 0.0748321 10.2271 0.159311 0 0.397104 0 0.0166294 0 0 0.340902 3.73329 3.89959 0 16.6294
36 250.00 886.70 100.015840 64.522 0.0748322 10.2271 0.158076 0 0.398216 0 0.0166294 0 0 0.340902 3.7333 3.89959 0 16.6294
37 862.90 818.40 100.016656 64.5215 0.0748316 10.227 0.166223 0 0.390882 0 0.0166292 0 0 0.3409 3.73327 3.89956 0 16.6292
